song_id,song_name,id_artists,name_artists,popularity,explicit,song_type,track_number,num_artists,num_available_markets,release_date,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0D9w5UiVChw1VTZk1py37x,Thinking Bout You,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],19,TRUE,Solo,11,1,73,5/20/16,200400,11,1,4,0.0148,0.511,0.696,0.000839,0.123,-6.029,0.0615,0.394,103.145
50Mc9BDUDzTxFwaPygZw6H,Moonlight,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],30,FALSE,Solo,1,1,24,5/20/16,202360,9,1,3,0.417,0.626,0.412,0.00000355,0.048,-7.339,0.0292,0.209,102.169
1ZANBLJ4pow8yBrFN9EGFF,Dangerous Woman,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],44,FALSE,Solo,2,1,24,5/20/16,235947,4,0,3,0.0529,0.662,0.602,0,0.356,-5.369,0.0401,0.29,133.969
0zVcsPsy4WViFnskD3SXjc,Be Alright,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],31,FALSE,Solo,3,1,24,5/20/16,179293,1,0,4,0.169,0.813,0.456,0.00000285,0.105,-7.667,0.0685,0.587,108.801
7woND3TZisiEyZY6HQr0Zr,Into You,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],47,FALSE,Solo,4,1,24,5/20/16,244453,9,1,4,0.0162,0.623,0.734,0.0000019,0.145,-5.95,0.107,0.372,107.853
2RTZ2xrCv92odRAHdpN1IB,Side To Side,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']","['Ariana Grande', 'Nicki Minaj']",40,FALSE,Collaboration,5,2,24,5/20/16,226160,6,0,4,0.0415,0.644,0.725,0,0.165,-5.816,0.184,0.67,159.172
5C5LG3t9HGtz6opYch8uXj,Let Me Love You,"['66CXWjxzNUsdJxJ2JdwvnR', '55Aa2cqylxrFIXC767Z865']","['Ariana Grande', 'Lil Wayne']",33,FALSE,Collaboration,6,2,24,5/20/16,223853,2,1,3,0.0295,0.528,0.435,0,0.243,-8.363,0.129,0.0781,102.704
3QzKOkJx93qT95MpEYLYOD,Greedy,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],28,FALSE,Solo,7,1,24,5/20/16,214907,1,1,4,0.0323,0.62,0.705,0,0.092,-5.335,0.0989,0.844,109.974
49dApkMoBJGB4NlyjTdt4s,Leave Me Lonely,"['66CXWjxzNUsdJxJ2JdwvnR', '4ylR3zwA0zaapAu94fktwa']","['Ariana Grande', 'Macy Gray']",23,FALSE,Collaboration,8,2,24,5/20/16,229680,8,0,3,0.596,0.445,0.449,0.0000234,0.339,-7.472,0.0315,0.374,90.927
0sGPJOpsQs7K2OwxSPMmxf,Everyday,"['66CXWjxzNUsdJxJ2JdwvnR', '1RyvyyTE3xzB2ZywiAwp0i']","['Ariana Grande', 'Future']",35,FALSE,Collaboration,9,2,24,5/20/16,194840,7,0,4,0.0168,0.631,0.721,0,0.189,-4.51,0.0521,0.457,130.975
57pP1na1daT3zVtQzoLCO7,Sometimes,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],25,FALSE,Solo,10,1,24,5/20/16,226667,4,1,4,0.0901,0.394,0.666,0,0.344,-5.383,0.25,0.561,77.827
4FK4RZ54LKzxwVBxcZ8NsE,I Don't Care,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],22,FALSE,Solo,11,1,24,5/20/16,178027,5,1,4,0.772,0.587,0.4,0,0.153,-8.32,0.0402,0.23,111.972
